Year,Current City,Current State,Current Country,Permanent City,Permanent State,Permanent Country,Course
2019,DEHRA DUN,UTTARAKHAND,India,DEHRA DUN,UTTARAKHAND,INDIA,BBA (Business Analytics)
2019,JAMMU,JAMMU AND KASHMIR,India,JAMMU,JAMMU AND KASHMIR,INDIA,BBA (Business Analytics)
2019,KOLKATA,WEST BENGAL,India,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2019,THIRUVANANTHAPURAM,KERALA,India,THIRUVANANTHAPURAM,KERALA,INDIA,BBA (Business Analytics)
2019,SHAJAPUR,MADHYA PRADESH,India,SHAJAPUR,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2019,MEERUT,UTTAR PRADESH,India,VAISHALI,BIHAR,INDIA,BBA (Business Analytics)
2019,HYDERABAD,TELANGANA,India,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2019,GUNTUR,ANDHRA PRADESH,India,GUNTUR,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2019,BHOPAL,MADHYA PRADESH,India,HOSHIARPUR,PUNJAB,INDIA,BBA (Business Analytics)
2019,KOTA,RAJASTHAN,India,KOTA,RAJASTHAN,INDIA,BBA (Business Analytics)
2019,RANGAREDDI,TELANGANA,India,RANGAREDDI,TELANGANA,INDIA,BBA (Business Analytics)
2019,KOLKATA,WEST BENGAL,India,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2019,VARANASI,UTTAR PRADESH,India,VARANASI,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,Rajahmundry,ANDHRA PRADESH,India,Rajahmundry,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2019,DEHRA DUN,UTTARAKHAND,India,DEHRA DUN,UTTARAKHAND,INDIA,BBA (Business Analytics)
2019,BHOPAL,MADHYA PRADESH,India,BHOPAL,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2019,HYDERABAD,TELANGANA,India,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2019,AHMEDABAD,GUJARAT,India,dubai,DUBAI,UNITED ARAB EMIRATES,BBA (Business Analytics)
2019,SUNDARGARH,ODISHA,India,SUNDARGARH,ODISHA,INDIA,BBA (Business Analytics)
2019,AHMEDABAD,GUJARAT,India,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,VARANASI,UTTAR PRADESH,India,VARANASI,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,CHANDIGARH,CHANDIGARH,India,PATHANKOT,PUNJAB,INDIA,BBA (Business Analytics)
2019,PURBI SINGHBHUM,JHARKHAND,India,PURBI SINGHBHUM,JHARKHAND,INDIA,BBA (Business Analytics)
2019,PATNA,BIHAR,India,PATNA,BIHAR,INDIA,BBA (Business Analytics)
2019,VISAKHAPATNAM,ANDHRA PRADESH,India,VISAKHAPATNAM,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2019,MUMBAI SUBURBAN,MAHARASHTRA,India,MUMBAI SUBURBAN,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,RAIPUR,CHHATTISGARH,India,RAIPUR,CHHATTISGARH,INDIA,BBA (Business Analytics)
2019,GURGAON,HARYANA,India,GURGAON,HARYANA,INDIA,BBA (Business Analytics)
2019,SHIMOGA,KARNATAKA,India,SHIMOGA,KARNATAKA,INDIA,BBA (Business Analytics)
2019,GUNTUR,ANDHRA PRADESH,India,GUNTUR,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2019,GHAZIABAD,UTTAR PRADESH,India,GHAZIABAD,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,CHENNAI,TAMILNADU,India,CHENNAI,TAMILNADU,INDIA,BBA (Business Analytics)
2019,PUNE,MAHARASHTRA,India,PUNE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,MUMBAI,MAHARASHTRA,India,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,GUNTUR,ANDHRA PRADESH,India,GUNTUR,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2019,JABALPUR,MADHYA PRADESH,India,JABALPUR,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2019,RAIPUR,CHHATTISGARH,India,RAIPUR,CHHATTISGARH,INDIA,BBA (Business Analytics)
2019,LUCKNOW,UTTAR PRADESH,India,LUCKNOW,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,NORTH DELHI,DELHI,India,NORTH DELHI,DELHI,INDIA,BBA (Business Analytics)
2019,KOLKATA,WEST BENGAL,India,KARIMGANJ,ASSAM,INDIA,BBA (Business Analytics)
2019,NORTH GOA,GOA,India,NORTH GOA,GOA,INDIA,BBA (Business Analytics)
2019,KOLKATA,WEST BENGAL,India,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2019,DEHRA DUN,UTTARAKHAND,India,DEHRA DUN,UTTARAKHAND,INDIA,BBA (Business Analytics)
2019,HYDERABAD,TELANGANA,India,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2019,PUNE,MAHARASHTRA,India,PUNE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,HYDERABAD,TELANGANA,India,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2019,INDORE,MADHYA PRADESH,India,INDORE,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2019,LUCKNOW,UTTAR PRADESH,India,LUCKNOW,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,SIMLA,HIMACHAL PRADESH,India,SIMLA,HIMACHAL PRADESH,INDIA,BBA (Business Analytics)
2019,SURAT,GUJARAT,India,SURAT,GUJARAT,INDIA,BBA (Business Analytics)
2019,AHMEDABAD,GUJARAT,India,GHAZIABAD,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,LUDHIANA,PUNJAB,India,LUDHIANA,PUNJAB,INDIA,BBA (Business Analytics)
2019,HYDERABAD,TELANGANA,India,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2019,PUNE,MAHARASHTRA,India,PUNE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,DURG,CHHATTISGARH,India,DURG,CHHATTISGARH,INDIA,BBA (Business Analytics)
2019,NASIK,MAHARASHTRA,India,NASIK,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,ALLAHABAD,UTTAR PRADESH,India,ALLAHABAD,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,SOUTH-WEST DELHI,DELHI,India,SOUTH-WEST DELHI,DELHI,INDIA,BBA (Business Analytics)
2019,MUMBAI,MAHARASHTRA,India,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,IDUKKI,KERALA,India,IDUKKI,KERALA,INDIA,BBA (Business Analytics)
2019,GURGAON,HARYANA,India,GURGAON,HARYANA,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,THANE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,KARNATAKA,India,Indian,BANGALORE URBAN,KARNATAKA,INDIA,BBA (Business Analytics)
2020,TAMILNADU,India,Indian,CHENNAI,TAMILNADU,INDIA,BBA (Business Analytics)
2020,WEST BENGAL,India,Indian,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,GUJARAT,India,Indian,VADODARA,GUJARAT,INDIA,BBA (Business Analytics)
2020,BIHAR,India,Indian,MUZAFFARPUR,BIHAR,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,MUMBAI SUBURBAN,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,GUJARAT,India,Indian,RAJKOT,GUJARAT,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,THANE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,KARNATAKA,India,Indian,MANGALORE,KARNATAKA,INDIA,BBA (Business Analytics)
2020,MADHYA PRADESH,India,Indian,RAJGARH,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2020,WEST BENGAL,India,Indian,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,NAGPUR,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,DUBAI,United Arab Emirates,Indian,KOTTAYAM,KERALA,INDIA,BBA (Business Analytics)
2020,CHHATTISGARH,India,Indian,RAJGARH,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2020,JHARKHAND,India,Indian,PURBI SINGHBHUM,JHARKHAND,INDIA,BBA (Business Analytics)
2020,KERALA,India,Indian,WAYANAD,KERALA,INDIA,BBA (Business Analytics)
2020,TAMILNADU,India,Indian,CHENNAI,TAMILNADU,INDIA,BBA (Business Analytics)
2020,HARYANA,India,Indian,GURGAON,HARYANA,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,PUNE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,DELHI,India,Indian,SOUTH-WEST DELHI,DELHI,INDIA,BBA (Business Analytics)
2020,UTTAR PRADESH,India,Indian,LUCKNOW,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2020,TAMILNADU,India,Indian,CHENNAI,TAMILNADU,INDIA,BBA (Business Analytics)
2020,CHHATTISGARH,India,Indian,DURG,CHHATTISGARH,INDIA,BBA (Business Analytics)
2020,GUJARAT,India,Indian,SURAT,GUJARAT,INDIA,BBA (Business Analytics)
2020,KARNATAKA,India,Indian,BANGALORE URBAN,KARNATAKA,INDIA,BBA (Business Analytics)
2020,PUNJAB,India,Indian,LUDHIANA,PUNJAB,INDIA,BBA (Business Analytics)
2020,PUNJAB,India,Indian,AMRITSAR,PUNJAB,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,WEST BENGAL,India,Indian,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,BIHAR,India,Indian,PATNA,BIHAR,INDIA,BBA (Business Analytics)
2020,BIHAR,India,Indian,MUZAFFARPUR,BIHAR,INDIA,BBA (Business Analytics)
2020,,India,Indian,Dubai,DUBAI,UNITED ARAB EMIRATES,BBA (Business Analytics)
2020,DELHI,India,Indian,SOUTH DELHI,DELHI,INDIA,BBA (Business Analytics)
2020,UTTAR PRADESH,India,Indian,ALLAHABAD,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,NAGPUR,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,HARYANA,India,Indian,GURGAON,HARYANA,INDIA,BBA (Business Analytics)
2020,HARYANA,India,Indian,YAMUNANAGAR,HARYANA,INDIA,BBA (Business Analytics)
2020,AL WARQAA,United Arab Emirates,Indian,KOLLAM,KERALA,INDIA,BBA (Business Analytics)
2020,ANDHRA PRADESH,India,Indian,Y.S.R,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,THANE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,PUNJAB,India,Indian,LUDHIANA,PUNJAB,INDIA,BBA (Business Analytics)
2020,DELHI,India,Indian,SOUTH DELHI,DELHI,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,PUNE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,MADHYA PRADESH,India,Indian,INDORE,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2020,DELHI,India,Indian,NORTH DELHI,DELHI,INDIA,BBA (Business Analytics)
2020,HARYANA,India,Indian,GURGAON,HARYANA,INDIA,BBA (Business Analytics)
2020,PUNJAB,India,Indian,LUDHIANA,PUNJAB,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,BIHAR,India,Indian,BHAGALPUR,BIHAR,INDIA,BBA (Business Analytics)
2020,UTTAR PRADESH,India,Indian,LUCKNOW,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2020,TAMILNADU,India,Indian,CHENNAI,TAMILNADU,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,ODISHA,India,Indian,Bhubaneswar,ODISHA,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,KERALA,India,Indian,ERNAKULAM,KERALA,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,MADHYA PRADESH,India,Indian,GWALIOR,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2020,KERALA,India,Indian,KOLLAM,KERALA,INDIA,BBA (Business Analytics)
2020,WEST BENGAL,India,Indian,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,GUJARAT,India,Indian,AHMEDABAD,GUJARAT,INDIA,BBA (Business Analytics)
2020,KERALA,India,Indian,THIRUVANANTHAPURAM,KERALA,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,RAIGAD,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,UTTAR PRADESH,India,Indian,SANT RAVIDAS NAGAR,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,GURGAON,HARYANA,INDIA,BBA (Business Analytics)
2020,ANDHRA PRADESH,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,BIHAR,India,Indian,MUZAFFARPUR,BIHAR,INDIA,BBA (Business Analytics)
2020,ANDHRA PRADESH,India,Indian,WEST GODAVARI,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2020,DELHI,India,Indian,NORTH-WEST DELHI,DELHI,INDIA,BBA (Business Analytics)
2020,MADHYA PRADESH,India,Indian,JABALPUR,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2020,KERALA,India,Indian,UDHAM SINGH NAGAR,UTTARAKHAND,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,AURANGABAD,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,DUBAI,United Arab Emirates,Indian,MAHE,PUDUCHERRY,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,PUNE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,WEST BENGAL,India,Indian,Siliguri,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,ODISHA,India,Indian,JAJPUR,ODISHA,INDIA,BBA (Business Analytics)
2020,KARNATAKA,India,Indian,BANGALORE URBAN,KARNATAKA,INDIA,BBA (Business Analytics)
2020,TAMILNADU,India,Indian,CHENNAI,TAMILNADU,INDIA,BBA (Business Analytics)
2020,ANDHRA PRADESH,India,Indian,Y.S.R,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2020,GOA,India,Indian,NORTH GOA,GOA,INDIA,BBA (Business Analytics)
2020,KARNATAKA,India,Indian,BANGALORE URBAN,KARNATAKA,INDIA,BBA (Business Analytics)
2020,MUSCAT,Oman,Indian,SOUTH 24 PARGANAS,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,HARYANA,India,Indian,GURGAON,HARYANA,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,JHARKHAND,India,Indian,Jamshedpur,JHARKHAND,INDIA,BBA (Business Analytics)
2020,GUJARAT,India,Indian,SURAT,GUJARAT,INDIA,BBA (Business Analytics)
2020,KARNATAKA,India,Indian,BANGALORE URBAN,KARNATAKA,INDIA,BBA (Business Analytics)
2020,UTTAR PRADESH,India,Indian,ALLAHABAD,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2020,MADHYA PRADESH,India,Indian,JABALPUR,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2020,WEST BENGAL,India,Indian,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,MADHYA PRADESH,India,Indian,BHIND,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2020,JAMMU AND KASHMIR,India,Indian,KATHUA,JAMMU AND KASHMIR,INDIA,BBA (Business Analytics)
2020,WEST BENGAL,India,Indian,HAORA,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,DELHI,India,Indian,SOUTH-WEST DELHI,DELHI,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,WEST BENGAL,India,Indian,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,CHANDIGARH,India,Indian,CHANDIGARH,CHANDIGARH,INDIA,BBA (Business Analytics)
2020,RAJASTHAN,India,Indian,JAIPUR,RAJASTHAN,INDIA,BBA (Business Analytics)
2020,ODISHA,India,Indian,KHURDA,ODISHA,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,SALEM,TAMILNADU,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,ABU DHABI,United Arab Emirates,Indian,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,KERALA,India,Indian,THRISSUR,KERALA,INDIA,BBA (Business Analytics)
2020,RAJASTHAN,India,Indian,JAIPUR,RAJASTHAN,INDIA,BBA (Business Analytics)
2020,UTTAR PRADESH,India,Indian,AGRA,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,TELANGANA,India,Indian,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2020,DELHI,India,Indian,SOUTH DELHI,DELHI,INDIA,BBA (Business Analytics)
2020,BIHAR,India,Indian,PATNA,BIHAR,INDIA,BBA (Business Analytics)
2020,PUNJAB,India,Indian,AMRITSAR,PUNJAB,INDIA,BBA (Business Analytics)
2020,UTTAR PRADESH,India,Indian,GHAZIABAD,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2020,GUJARAT,India,Indian,VADODARA,GUJARAT,INDIA,BBA (Business Analytics)
2020,TAMILNADU,India,Indian,CHENNAI,TAMILNADU,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,PUNE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,GUJARAT,India,Indian,SURAT,GUJARAT,INDIA,BBA (Business Analytics)
2020,ANDHRA PRADESH,India,Indian,GUNTUR,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2020,JHARKHAND,India,Indian,DHANBAD,JHARKHAND,INDIA,BBA (Business Analytics)
2020,ANDHRA PRADESH,India,Indian,KRISHNA,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2020,WEST BENGAL,India,Indian,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,GUJARAT,India,Indian,AHMEDABAD,GUJARAT,INDIA,BBA (Business Analytics)
2020,HARYANA,India,Indian,GURGAON,HARYANA,INDIA,BBA (Business Analytics)
2020,DELHI,India,Indian,SOUTH-WEST DELHI,DELHI,INDIA,BBA (Business Analytics)
2020,GUJARAT,India,Indian,AHMEDABAD,GUJARAT,INDIA,BBA (Business Analytics)
2020,UTTARAKHAND,India,Indian,WEST DELHI,DELHI,INDIA,BBA (Business Analytics)
2020,UTTAR PRADESH,India,Indian,GORAKHPUR,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2020,KERALA,India,Indian,MALAPPURAM,KERALA,INDIA,BBA (Business Analytics)
2020,JHARKHAND,India,Indian,RANCHI,JHARKHAND,INDIA,BBA (Business Analytics)
2020,UTTAR PRADESH,India,Indian,BIJNOR,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2020,MAHARASHTRA,India,Indian,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2020,ODISHA,India,Indian,ANGUL,ODISHA,INDIA,BBA (Business Analytics)
2020,BIHAR,India,Indian,BHAGALPUR,BIHAR,INDIA,BBA (Business Analytics)
2020,JAMMU AND KASHMIR,India,Indian,JAMMU,JAMMU AND KASHMIR,INDIA,BBA (Business Analytics)
2020,MADHYA PRADESH,India,Indian,Pipariya,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2020,WEST BENGAL,India,Indian,BARDDHAMAN,WEST BENGAL,INDIA,BBA (Business Analytics)
2020,KARNATAKA,India,Indian,BANGALORE RURAL,KARNATAKA,INDIA,BBA (Business Analytics)
